Date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m2),PAR (µmol/m2/s),max. PAR (µmol/m2/s),Tlog (degC),CO2 (ppm)
11-01-2017,981.5238194,-0.208194444,274.4152083,-3.145625,80.51458333,6.090694444,4.908055556,1.182222222,3.119166667,5.004583333,1250.464097,3.906180556,6.233055556,198.9680556,0.002777778,21.18055556,23.80958333,50.82173611,64.86319444,10.08069444,421.4416667
12-01-2017,979.4477778,3.027916667,277.8323611,-0.898541667,75.839375,7.612569444,5.726458333,1.885972222,3.644861111,5.847708333,1232.673958,2.300208333,4.331319444,217.8972222,0.015277778,85.97222222,38.55777778,76.84201389,103.7122917,13.614375,412.6256944
13-01-2017,967.2631944,1.755902778,277.5492361,-1.276944444,80.44895833,6.958680556,5.590208333,1.36875,3.604375,5.782291667,1223.043333,4.440347222,7.536944444,226.0423611,0.004861111,85.97222222,15.46090278,33.03326389,37.91819444,11.31,412.825
14-01-2017,978.4388194,0.746805556,275.6198611,-2.212361111,80.68819444,6.459652778,5.216597222,1.242708333,3.323333333,5.332222222,1241.905625,3.230277778,5.871666667,246.0340278,0.000694444,78.61111111,26.90868056,56.42840278,81.95402778,10.68243056,411.5270833
15-01-2017,989.2588194,-0.193611111,273.8113889,-3.580138889,78.24881944,6.03375,4.690347222,1.343194444,2.954444444,4.74125,1260.252986,2.284444444,4.408402778,259.6729167,0.001388889,180.9722222,51.96319444,96.57201389,125.7492361,10.99027778,412.3527778
16-01-2017,997.9822222,-2.850625,270.4671528,-5.522361111,81.7875,4.958888889,4.052291667,0.907083333,2.530347222,4.060972222,1284.198333,1.641666667,2.968055556,132.715625,0.001388889,59.86111111,28.66215278,59.99305556,67.03138889,9.175486111,415.5409722
17-01-2017,1007.799306,-3.365069444,269.1974306,-5.832013889,82.98125,4.766944444,3.949236111,0.817291667,2.441180556,3.919027778,1299.358542,2.262361111,3.485763889,67.62055556,0,0.347222222,29.40965278,56.97375,66.46013889,8.088819444,419.6395833
18-01-2017,1012.080278,-5.302708333,266.9396528,-7.424236111,85.05,4.122986111,3.498541667,0.624097222,2.152847222,3.456875,1314.555,1.888680556,2.887152778,77.06784722,0,4.791666667,27.38638889,57.94861111,63.45444444,8.517777778,420.9798611
19-01-2017,1010.899097,-6.873541667,265.4627083,-9.038125,84.90388889,3.678194444,3.080625,0.598055556,1.897916667,3.047083333,1321.019306,1.026944444,1.660277778,124.8802083,0,0,60.53520833,114.2159722,120.2018056,9.245486111,437.3506944
20-01-2017,1008.373889,-6.049652778,266.4753472,-9.453680556,77.71881944,4.056041667,3.030902778,1.025347222,1.872430556,3.006875,1313.950208,0.709305556,1.237222222,175.1710417,0,0,40.48729167,82.66298611,101.475625,9.875555556,452.5881944
21-01-2017,1004.612153,-2.390347222,270.4136806,-5.441111111,80.001875,5.191180556,4.089444444,1.101875,2.535763889,4.071111111,1290.605417,0.912638889,1.397708333,114.2624306,0,0,71.08763889,124.7146528,128.873125,10.16381944,462.8277778
22-01-2017,999.9553472,-6.339375,266.8252083,-8.227222222,86.83472222,3.864861111,3.3,0.565,2.055208333,3.300138889,1304.034653,0.840347222,1.323541667,124.0054861,0,0,74.51083333,123.8202083,128.5995833,9.33625,471.7569444
23-01-2017,998.1822222,-8.083472222,265.2146528,-9.693958333,88.25,3.345486111,2.940625,0.405069444,1.834375,2.945972222,1310.398819,0.965416667,1.777013889,158.6447917,0,3.541666667,54.95201389,99.84715278,105.3719444,8.8475,460.5902778
24-01-2017,1001.132986,-4.967361111,268.10625,-6.080138889,91.89097222,4.240763889,3.886944444,0.354166667,2.418402778,3.882361111,1298.507222,0.930833333,1.505625,183.0989583,0,73.47222222,15.14791667,41.86631944,45.26583333,8.613402778,446.0222222
25-01-2017,1004.056597,-2.120347222,270.7267361,-3.498611111,90.25902778,5.237777778,4.719930556,0.517777778,2.929305556,4.701041667,1288.211806,1.199027778,1.806458333,116.8984722,0,15.48611111,16.78833333,43.03138889,47.76784722,9.754097222,441.8826389
26-01-2017,1001.199514,-1.812708333,271.2545139,-5.226527778,78.0425,5.392013889,4.146875,1.245416667,2.58,4.141388889,1283.406806,1.101180556,1.909097222,146.00875,0,0,80.56277778,136.0911806,141.4494444,10.60763889,437.7444444
27-01-2017,995.9440278,-1.845972222,271.6309028,-6.843055556,70.01534722,5.526111111,3.665555556,1.860416667,2.292986111,3.681180556,1277.235,1.412777778,2.310555556,190.4352083,0,0,78.76277778,145.0529861,149.6336806,11.10347222,430.08125
28-01-2017,992.8129861,-3.241875,270.4760417,-7.416111111,74.56319444,5.005833333,3.509097222,1.496666667,2.201180556,3.534722222,1279.918264,1.906041667,2.989305556,187.5722222,0,0,96.21902778,146.4819444,151.6153472,10.62201389,440.2472222
29-01-2017,994.8422222,0.569722222,274.1349306,-4.111944444,71.640625,6.549027778,4.566944444,1.981458333,2.860833333,4.591388889,1264.091389,1.873819444,3.037083333,191.8305556,0,0,72.76555556,139.4961111,148.8336111,11.97451389,436.1604167
30-01-2017,987.89875,1.502152778,275.6234722,-0.969444444,83.66805556,6.903333333,5.760694444,1.141597222,3.637708333,5.835277778,1250.357708,2.818055556,4.149444444,188.7888889,0.007638889,54.58333333,22.16229167,49.00944444,55.31819444,12.17395833,435.4930556
31-01-2017,988.0879167,1.321111111,275.4245833,0.274375,92.73472222,6.742013889,6.242847222,0.498402778,3.940347222,6.319722222,1251.083333,1.358263889,2.289583333,182.7199306,0.004861111,80.55555556,10.83583333,25.6675,29.60770833,12.98986111,436.8375
01-02-2017,992.4248611,0.392777778,274.1486111,-1.062222222,90.06666667,6.294375,5.656111111,0.638541667,3.551944444,5.698680556,1261.108472,1.555625,2.425972222,179.0095139,0,0,23.66569444,49.67152778,58.16166667,12.54069444,444.3930556
02-02-2017,985.8591667,2.551041667,276.8378472,1.004097222,89.55347222,7.454375,6.653819444,0.800555556,4.210416667,6.751597222,1242.591319,1.903333333,2.988819444,187.6798611,0,2.916666667,37.93319444,79.71645833,101.6063194,13.90270833,432.9402778
03-02-2017,980.715,4.206875,278.9154861,3.014930556,91.97638889,8.265833333,7.608263889,0.6575,4.840208333,7.758125,1228.133333,1.296111111,2.397986111,179.8297222,0,87.15277778,14.34013889,32.91104167,37.19833333,15.81125,436.1902778
04-02-2017,977.4708333,4.032083333,279.0047917,1.712152778,85.78201389,8.254791667,6.921597222,1.332916667,4.41625,7.080972222,1225.240556,1.649375,2.792361111,176.6216667,0,0,84.85361111,158.8519444,165.874375,16.02354167,429.4652778
05-02-2017,977.6365278,4.056111111,279.0142361,1.059930556,81.51652778,8.230972222,6.600625,1.630555556,4.210138889,6.751041667,1225.454167,1.45875,2.449166667,168.148125,0,28.19444444,53.92493056,105.0351389,137.6350694,15.44256944,423.9201389
06-02-2017,989.6003472,0.867986111,274.8504861,0.390555556,96.65,6.527708333,6.297013889,0.230833333,3.968611111,6.364513889,1255.062361,2.688958333,3.912569444,26.085625,0,3.888888889,8.218611111,18.84527778,21.02076389,11.33875,441.2770833
07-02-2017,994.2302083,-2.055069444,271.5547917,-2.819583333,94.53055556,5.253125,4.959791667,0.293125,3.109236111,4.989027778,1275.142917,2.564097222,3.701527778,49.18854167,0,14.09722222,9.332569444,21.39618056,23.96236111,8.220763889,427.6180556
08-02-2017,998.9313889,-3.225347222,270.0189583,-5.556805556,83.84375,4.820555556,4.049513889,0.771388889,2.526180556,4.055138889,1287.201736,2.788263889,4.160208333,55.99708333,0,0,27.27631944,55.63201389,62.21826389,8.051180556,426.5340278
09-02-2017,1002.120347,-4.5175,268.4805556,-6.847291667,83.67361111,4.367986111,3.652222222,0.715902778,2.269861111,3.644375,1297.709236,2.976458333,4.4675,51.15319444,0.000694444,0,20.07166667,42.09847222,46.36097222,8.683888889,427.7534722
10-02-2017,997.2873611,-3.475138889,269.8952778,-5.490138889,85.86319444,4.767291667,4.087569444,0.679791667,2.553819444,4.09875,1286.306181,2.845347222,4.023402778,47.54222222,0,0,19.39590278,40.74944444,45.21784722,8.832222222,433.4444444
11-02-2017,996.5758333,0.015833333,273.4441667,-1.72875,88.11597222,6.134236111,5.384513889,0.749861111,3.367638889,5.402847222,1268.285278,1.879930556,2.825208333,82.89069444,0.001388889,65.41666667,32.26868056,63.59368056,70.92291667,11.29388889,436.1861111
12-02-2017,1002.53,-0.260486111,272.7029167,-2.403958333,85.39791667,5.994166667,5.116597222,0.877291667,3.180694444,5.103194444,1277.275556,2.404236111,3.383194444,49.72173611,0,0,17.05805556,37.23305556,39.33125,10.06361111,431.8
13-02-2017,1006.353889,-0.803888889,271.8633333,-3.981805556,79.63236111,5.855416667,4.559444444,1.295277778,2.823611111,4.531041667,1285.11375,2.512916667,3.594930556,46.64805556,0,0,106.0208333,172.1001389,178.5177778,10.27993056,438.75
14-02-2017,1006.023472,-0.330972222,272.3613194,-3.822777778,78.16,6.151875,4.637291667,1.51375,2.872152778,4.609583333,1282.518681,1.383194444,2.069097222,122.4765278,0,0,118.1996528,190.7711806,196.5984028,11.68659722,442.9715278
15-02-2017,1007.025486,1.888263889,274.4988889,-3.032152778,73.015625,7.552569444,4.928402778,2.623472222,3.050347222,4.894444444,1273.63625,0.964236111,1.626527778,166.2466667,0,0,120.5974306,201.660625,207.3463889,14.00916667,440.8055556
16-02-2017,1002.905208,3.965486111,276.9000694,-0.002361111,76.86548611,8.693194444,6.280138889,2.413263889,3.907361111,6.265416667,1258.298056,0.957222222,1.814861111,166.2186806,0.022222222,39.23611111,98.79694444,186.4636806,211.6525694,15.86208333,439.2784722
17-02-2017,996.6960417,5.274375,278.6983333,3.264652778,87.04027778,8.922152778,7.73125,1.191527778,4.838888889,7.756458333,1243.374792,1.7625,3.139583333,230.0625,0.01875,45.48611111,61.09715278,123.199375,148.8174306,16.25645833,423.8298611
18-02-2017,999.1807639,4.288263889,277.5129167,1.685902778,83.44388889,8.312708333,6.917708333,1.394722222,4.318125,6.923958333,1251.284722,1.210138889,2.21,242.6495139,0.003472222,31.875,38.27680556,80.38791667,90.21590278,15.97006944,420.4534722
19-02-2017,995.4484722,2.402291667,275.9234028,-0.222083333,83.62645833,7.430347222,6.059791667,1.370138889,3.79625,6.089166667,1255.729167,1.775763889,2.934444444,193.3104861,0.002777778,39.51388889,80.72854167,150.1140972,178.7833333,14.14291667,426.4618056
20-02-2017,989.8469444,6.312569444,280.2907639,3.5975,82.95888889,9.622638889,7.942222222,1.680763889,5.007569444,8.026041667,1230.165069,3.767083333,5.883055556,201.7444444,0.013888889,84.79166667,50.32256944,105.1198611,119.6868056,16.38694444,421.7673611
21-02-2017,985.5196528,8.839722222,283.1795139,4.544305556,75.11472222,11.39555556,8.542222222,2.853263889,5.410416667,8.669861111,1213.468194,2.225347222,4.510833333,246.4604167,0.009027778,42.77777778,54.72680556,110.348125,158.7270833,18.89791667,414.7138889
22-02-2017,979.5183333,8.982986111,283.819375,5.603263889,79.75131944,11.59625,9.135833333,2.459861111,5.823333333,9.328055556,1205.243542,3.593819444,6.439375,211.4305556,0.029861111,90.83333333,36.50243056,78.92270833,99.60583333,18.60166667,413.3659722
23-02-2017,972.1375694,8.655347222,284.104375,4.454791667,75.97409722,11.27270833,8.473125,2.800138889,5.436527778,8.711388889,1197.772431,4.802291667,8.008680556,204.3031944,0.015972222,95.20833333,40.18270833,84.11895833,107.3757639,17.840625,410.3131944
24-02-2017,980.3443056,3.604375,278.3481944,-1.754166667,68.53833333,7.986666667,5.377708333,2.608333333,3.420486111,5.488055556,1231.52125,3.311666667,6.621319444,245.6513889,0.002083333,16.66666667,65.66631944,131.0702778,206.1869444,13.77326389,410.9125
25-02-2017,993.1875,3.193333333,276.8957639,-2.048472222,69.94659722,7.88875,5.263125,2.624861111,3.302986111,5.299791667,1249.681736,2.689652778,4.178958333,198.675,0,1.319444444,109.3855556,210.5600694,244.2701389,14.08638889,417.6027778
26-02-2017,986.4240972,8.673888889,282.9386111,-0.890972222,51.22625,11.33763889,5.731527778,5.605625,3.622638889,5.811458333,1216.662986,4.285347222,6.573263889,204.63125,0,0,88.47423611,174.4004167,230.9134722,18.25430556,414.0020833
27-02-2017,978.3510417,8.952013889,283.8882639,1.589305556,60.38729167,11.61819444,6.875763889,4.742847222,4.384513889,7.030277778,1205.046667,3.270277778,4.937013889,193.5958333,0,0,114.2307639,218.6868056,283.0236111,19.22013889,416.6569444
28-02-2017,968.4500694,6.440138889,282.1750694,1.172083333,69.60208333,9.700138889,6.684166667,3.016597222,4.304375,6.901805556,1203.511319,5.839236111,9.079930556,204.0833333,0.009027778,32.63888889,100.4111111,191.27375,225.7515278,16.04520833,410.1868056
01-03-2017,974.8159722,4.987291667,280.1832639,0.801180556,74.99659722,8.790138889,6.506944444,2.284027778,4.162083333,6.67375,1217.863125,4.274930556,6.759027778,209.4881944,0.014583333,51.45833333,92.46034722,181.5970139,300.180625,15.06881944,411.9986111
02-03-2017,980.0015972,6.547986111,281.3295139,0.461805556,66.59208333,9.759166667,6.388541667,3.370555556,4.067083333,6.522222222,1217.566042,3.987986111,7.525,221.4666667,0.007638889,10.55555556,99.00819444,191.82875,278.1102778,16.15173611,411.2756944
03-03-2017,984.6297222,6.104513889,280.5079167,-1.174861111,61.343125,9.616666667,5.611805556,4.005069444,3.551875,5.698958333,1225.802431,2.360972222,3.773958333,186.1395833,0,0,100.5127083,196.2622917,221.4793056,16.83861111,416.15625
04-03-2017,970.8205556,10.35569444,285.9319444,0.989930556,53.59895833,13.15298611,6.624791667,6.527916667,4.257777778,6.827152778,1190.187014,2.333958333,3.871736111,173.42125,0.002083333,3.541666667,134.376875,256.8435417,272.7205556,20.74625,418.70625
05-03-2017,974.7397222,7.680555556,282.903125,1.915694444,67.54319444,10.55847222,7.046944444,3.511527778,4.509930556,7.230763889,1205.818403,4.067916667,6.381180556,203.9777778,0.009027778,16.52777778,99.65923611,193.2163194,259.1479861,17.78243056,412.1673611
06-03-2017,974.1421528,4.849444444,280.1002083,2.488819444,84.93888889,8.669236111,7.316111111,1.353194444,4.684722222,7.510486111,1217.220903,1.957916667,3.118680556,211.2333333,0.022916667,146.9444444,52.00493056,109.1922917,134.6294444,16.36069444,415.7833333
07-03-2017,985.0888889,3.635277778,277.9870139,1.924583333,88.775,7.950902778,7.021944444,0.928194444,4.445972222,7.128402778,1236.458264,1.341597222,2.482430556,204.735625,0.030555556,151.6666667,38.75472222,82.39069444,105.3783333,14.99041667,419.5083333
08-03-2017,992.0627778,4.514791667,278.30875,1.7275,83.20354167,8.536875,6.927986111,1.609444444,4.355555556,6.983819444,1241.424306,3.235972222,5.087013889,189.5645833,0.025,107.1527778,78.36604167,158.1254861,172.7915972,15.35784722,422.3618056
09-03-2017,989.8536111,7.918680556,281.8997222,4.29125,78.72180556,10.76694444,8.336111111,2.430972222,5.255833333,8.421527778,1222.954306,2.208125,4.015347222,223.3715278,0.009722222,55.27777778,109.6984028,216.1477778,280.5754167,18.54729167,414.4541667
10-03-2017,997.4000694,6.103333333,279.4710417,0.429027778,67.52319444,9.487291667,6.313472222,3.174652778,3.947291667,6.331111111,1241.257083,2.162013889,4.379097222,262.6978472,0,0,103.1506944,202.0267361,314.3404167,16.75541667,412.2666667
11-03-2017,997.8595833,3.598611111,276.9298611,-0.776805556,75.14465278,8.201597222,5.784027778,2.417638889,3.613611111,5.796805556,1253.563889,1.265416667,2.131944444,129.1382639,0,0,134.1576389,261.5801389,307.5729167,15.60569444,425.2951389
12-03-2017,993.9215278,2.844305556,276.4873611,-2.063819444,72.78201389,7.748611111,5.268888889,2.479583333,3.30375,5.300486111,1252.233542,1.565347222,2.762291667,144.8347222,0,0,142.1794444,270.0179861,328.4734722,14.89819444,426.3020833
13-03-2017,998.1879167,4.1725,277.4759722,-2.226527778,64.76854167,8.58125,5.215069444,3.365902778,3.255625,5.223958333,1251.662778,1.200277778,2.041944444,185.1366667,0,0,140.994375,265.4506944,280.0845833,16.0425,422.4347222
14-03-2017,1002.665417,7.281111111,280.2275694,1.955069444,69.88430556,10.55930556,7.092916667,3.466805556,4.411736111,7.073055556,1242.423333,1.154236111,2.348541667,219.1135417,0,0,134.8311806,263.9102778,297.1026389,18.86138889,425.9111111
15-03-2017,1002.524861,8.532708333,281.4900694,3.013611111,69.49861111,11.333125,7.630208333,3.703125,4.7475,7.610763889,1236.363264,1.524652778,3.101597222,223.5504861,0,0,120.1486111,236.3804167,275.4409722,19.53763889,421.0694444
16-03-2017,997.4785417,7.936527778,281.3025,-0.138680556,60.92513889,11.20180556,6.064236111,5.137083333,3.789791667,6.078472222,1233.721667,1.084652778,2.056527778,204.0167361,0,0,177.6351389,338.8606944,361.8052778,20.03875,428.1826389
17-03-2017,986.5154167,6.804722222,281.0550694,1.312152778,68.54180556,10.12527778,6.764513889,3.361180556,4.276944444,6.858055556,1224.53375,1.618333333,3.255555556,222.685625,0,6.388888889,48.91402778,101.619375,136.2479861,17.44805556,426.1791667
18-03-2017,977.9465278,7.248194444,282.2036111,4.400555556,82.32597222,10.27756944,8.4275,1.850069444,5.37875,8.618958333,1211.045208,2.64875,5.165833333,229.2176389,0.058333333,183.8194444,45.49520833,97.97159722,148.035625,17.28847222,412.9944444
19-03-2017,981.2911806,9.063888889,283.7546528,5.834722222,80.97138889,11.824375,9.350763889,2.472638889,5.950972222,9.531666667,1207.101597,2.045763889,3.934652778,221.9708333,0.009027778,95.97222222,64.49666667,138.0764583,173.1778472,19.32951389,414.6180556
20-03-2017,981.8367361,10.79256944,285.4451389,5.204513889,68.40652778,12.98138889,8.873611111,4.107986111,5.640763889,9.0375,1200.440486,3.654444444,6.190069444,214.0652778,0,1.111111111,83.14763889,173.6163889,216.633125,20.35513889,410.3652778
21-03-2017,982.7990972,8.514930556,283.0772917,4.558541667,76.68534722,11.21486111,8.485972222,2.72875,5.388958333,8.635069444,1211.593611,3.458541667,5.397847222,222.9770833,0.022222222,91.04166667,52.36680556,114.3459722,137.2920833,18.76236111,412.2104167
22-03-2017,989.0674306,6.044513889,280.0828472,2.345833333,78.31805556,9.462986111,7.252291667,2.210902778,4.573472222,7.332222222,1230.689931,1.826111111,3.132777778,120.1463194,0.001388889,49.58333333,107.940625,213.2115278,257.2728472,17.54916667,420.7118056
23-03-2017,991.3180556,6.565555556,280.4238194,4.432847222,86.46805556,9.760069444,8.393055556,1.366805556,5.283263889,8.466388889,1230.620694,2.323194444,3.393958333,65.0675,0.021527778,120.2083333,52.69388889,109.9970833,134.0719444,16.84,422.6784722
24-03-2017,1001.714861,7.004791667,280.0269444,2.262430556,72.96131944,10.12875,7.208611111,2.920763889,4.489097222,7.197222222,1242.2225,2.826041667,4.378194444,58.25784722,0,0,153.2836806,287.9397917,361.5129861,17.17354167,419.6
25-03-2017,1001.644306,5.709930556,278.7422222,-0.782291667,66.88972222,9.600069444,5.783472222,3.817013889,3.599166667,5.773333333,1248.905069,1.627083333,2.554652778,105.001875,0,0,183.4075,351.3526389,375.2035417,17.13340278,427.7340278
26-03-2017,998.4270139,7.048263889,280.3346528,-0.32375,61.38798611,10.33416667,5.972777778,4.361875,3.729930556,5.981805556,1238.659792,1.834861111,3.141736111,92.99777778,0,0,203.63375,385.4296528,411.291875,18.37034722,421.2590278
27-03-2017,998.5423611,8.303472222,281.5835417,-0.562291667,58.50833333,11.89236111,5.885347222,6.006597222,3.674652778,5.894930556,1233.801667,1.195069444,2.069305556,134.9898611,0,0,217.7409722,409.1211806,418.7727083,20.45951389,426.1979167
28-03-2017,995.1604167,11.43861111,284.9959028,1.205208333,55.33506944,14.77798611,6.710069444,8.067569444,4.204722222,6.742222222,1215.770625,1.788263889,2.930416667,188.9014583,0,0,217.890625,407.5943056,420.7709722,22.70291667,428.2638889
29-03-2017,996.7786111,12.69430556,286.118125,5.262083333,61.79944444,15.07416667,8.908611111,6.165625,5.578333333,8.936805556,1210.839306,2.160902778,4.286041667,217.7763889,0,0,153.3127083,297.0344444,414.0613194,23.28590278,425.7152778
30-03-2017,998.7610417,14.40270833,287.6654861,7.472777778,63.74673611,16.66340278,10.36986111,6.293333333,6.483958333,10.38277778,1205.289653,1.558125,2.583958333,216.7661806,0,0,145.0311111,289.3835417,383.9711111,25.54159722,418.0020833
31-03-2017,991.0497917,14.86270833,288.7693056,5.717291667,59.65458333,18.11597222,9.212569444,8.903402778,5.801597222,9.29375,1195.069583,2.1425,3.446527778,187.4097222,0,0,197.6245833,377.3221528,414.1272917,25.46680556,426.4645833
01-04-2017,984.9544444,12.93430556,287.3393056,7.007222222,69.07576389,15.54423611,10.12131944,5.422986111,6.417708333,10.27784722,1194.997708,1.713541667,2.706111111,140.3004167,0.025,16.73611111,171.9917361,328.9438889,382.0366667,23.84472222,434.7944444
02-04-2017,991.6177778,10.97159722,284.8154167,8.002152778,83.19055556,13.41694444,10.78201389,2.635,6.790486111,10.87138889,1210.931042,1.696597222,2.712777778,135.2121528,0.002083333,12.77777778,136.5190972,268.8022222,347.0126389,22.01694444,431.2375
03-04-2017,998.7653472,8.640486111,281.900625,6.291388889,85.24375,11.24368056,9.585069444,1.658958333,5.991319444,9.597569444,1230.212639,2.504027778,3.659375,71.25993056,0,0,115.1715278,224.6603472,282.3075694,19.13215278,427.1375
04-04-2017,997.8057639,7.263611111,280.5995833,5.100972222,86.29652778,10.23027778,8.806597222,1.423194444,5.508819444,8.826736111,1235.420278,1.137222222,1.825,108.1751389,0.006944444,88.95833333,57.701875,123.9731944,139.7881944,18.40819444,421.6861111
05-04-2017,995.5181944,9.170972222,282.6940972,4.624236111,74.76201389,11.76555556,8.53875,3.226736111,5.352083333,8.576597222,1224.46,1.305,2.710069444,239.9726389,0.000694444,0,104.7271528,208.75,275.8117361,20.7,421.2152778
06-04-2017,996.3204167,7.655138889,281.110625,0.252847222,60.54222222,10.5925,6.230763889,4.362083333,3.898541667,6.25375,1233.115903,1.927638889,4.083402778,265.0390972,0.002777778,7.291666667,193.0053472,368.2484722,539.6122222,18.97340278,410.1652778
07-04-2017,994.9113194,8.926527778,282.4990278,3.727222222,69.91347222,11.51833333,8.02875,3.489791667,5.034722222,8.069930556,1224.969931,2.526875,5.382291667,260.3243056,0,0,115.6729167,239.7572917,288.048125,19.23645833,411.95625
08-04-2017,997.0658333,11.34048611,284.7397222,6.796944444,74.44034722,13.60958333,9.899791667,3.709305556,6.199583333,9.928819444,1216.383125,1.577708333,2.733541667,148.1724306,0,0,116.8761806,236.6002778,304.6945139,22.204375,413.3638889
09-04-2017,997.013125,11.39701389,284.8021528,6.564375,75.47215278,14.22868056,9.777013889,4.452361111,6.122430556,9.806527778,1216.484167,1.185902778,2.00625,140.2529861,0,0.277777778,218.4273611,417.88625,431.6464583,23.56743056,425.4930556
10-04-2017,991.2161111,11.69166667,285.5731944,5.272222222,67.85291667,14.67291667,8.979097222,5.693125,5.655625,9.060833333,1208.585069,1.790416667,3.70875,218.2274306,0,0,198.7245833,381.1529861,433.4105556,23.17972222,426.5347222
11-04-2017,996.4227778,7.851666667,281.299375,0.388055556,59.63076389,10.68256944,6.286944444,4.39625,3.933819444,6.309791667,1232.319444,1.781111111,3.552847222,262.5229167,0,0,114.4113889,225.5148611,360.2409722,19.07701389,412.375
12-04-2017,988.3903472,10.4875,284.5980556,3.519513889,63.47166667,12.81618056,7.96375,4.852013889,5.029861111,8.060833333,1210.269167,2.891736111,4.853541667,215.8227778,0.013888889,67.43055556,114.0679167,230.0000694,272.1052778,20.82888889,412.1638889
13-04-2017,985.8266667,9.152569444,283.4672917,3.626736111,69.20534722,11.66743056,7.949236111,3.718055556,5.031666667,8.064513889,1212.789167,1.781944444,3.743055556,263.7585417,0.020138889,23.54166667,138.5970139,273.1697917,422.3827778,20.15631944,412.8055556
14-04-2017,988.7261806,8.514722222,282.5897222,1.452638889,62.40631944,11.28506944,6.791527778,4.494166667,4.283055556,6.868958333,1219.743889,1.484722222,2.776805556,255.6341667,0,0,182.383125,353.3849306,501.435625,20.16798611,414.3625
15-04-2017,986.2790972,8.667291667,282.9434722,3.519027778,70.54520833,11.30756944,7.889791667,3.417083333,4.991180556,7.999861111,1215.485347,2.455902778,4.344652778,220.7311111,0.007638889,18.05555556,77.94006944,159.8026389,204.2243056,19.53041667,420.4173611
16-04-2017,989.585,6.550972222,280.5498611,0.714722222,66.86770833,9.798541667,6.445763889,3.353055556,4.061319444,6.513541667,1229.483056,2.385833333,4.590138889,248.4304167,0.003472222,15.34722222,170.3710417,329.4134028,461.7620833,17.34215278,410.9916667
17-04-2017,989.085625,4.248263889,278.2806944,1.655277778,83.54597222,8.308055556,6.891111111,1.417708333,4.344583333,6.966319444,1238.82125,1.815972222,2.936805556,205.485,0.046527778,160,112.538125,225.7572222,280.3297917,16.18784722,411.8090278
